Model                  LogL         AIC AICp      w-AIC        AICc AICcp     w-AICc         BIC BICp      w-BIC
HIVw+F+R5        -27956.850   56173.700 -        0   56309.397 -        0   56686.604 -        0
HIVw+F+I+R6      -27951.379   56168.759 -        0   56312.485 -        0   56693.500 -        0
HIVw+F+I+R4      -27964.998   56187.997 -        0   56321.092 -        0   56696.956 -        0
FLAVI+F+I+R5     -27959.313   56180.626 -        0   56318.963 -        0   56697.477 -        0
HIVw+F+R6        -27956.450   56176.901 -        0   56317.913 -        0   56697.696 -        0
FLAVI+F+R5       -27962.508   56185.016 -        0   56320.713 -        0   56697.921 -        0
FLAVI+F+I+R4     -27968.005   56194.009 -        0   56327.105 -        0   56702.969 -        0
FLAVI+F+I+R6     -27956.786   56179.573 -        0   56323.298 -        0   56704.314 -        0
FLAVI+F+R6       -27960.940   56185.880 -        0   56326.892 -        0   56706.675 -        0
LG+I             -28188.906   56585.811 -        0   56664.656 -        0   56996.135 -        0
mtMAM+F+I+R5     -28118.097   56498.194 -        0   56636.530 -        0   57015.044 -        0
mtMAM+F+I+R6     -28113.660   56493.320 -        0   56637.046 -        0   57018.061 -        0
mtMAM+F+R5       -28123.171   56506.341 -        0   56642.038 -        0   57019.246 -        0
mtMAM+F+R6       -28119.946   56503.891 -        0   56644.903 -        0   57024.687 -        0
mtMAM+F+I+R4     -28130.267   56518.535 -        0   56651.630 -        0   57027.494 -        0
LG               -28338.706   56883.412 -        0   56960.477 -        0   57289.790 -        0
FLAVI+I+R5       -28516.879   57257.757 -        0   57351.854 -        0   57699.644 -        0
FLAVI+R5         -28520.420   57262.839 -        0   57354.928 -        0   57700.781 -        0
FLAVI+R6         -28515.605   57257.209 -        0   57353.343 -        0   57703.042 -        0
FLAVI+I+R6       -28513.343   57254.687 -        0   57352.889 -        0   57704.465 -        0
FLAVI+I+R4       -28537.604   57295.208 -        0   57385.319 -        0   57729.204 -        0
mtZOA+R5         -28552.217   57326.433 -        0   57418.522 -        0   57764.375 -        0
mtZOA+R6         -28548.361   57322.722 -        0   57418.857 -        0   57768.555 -        0
mtZOA+I+R5       -28555.073   57334.147 -        0   57428.244 -        0   57776.034 -        0
mtZOA+I+R6       -28550.056   57328.112 -        0   57426.315 -        0   57777.890 -        0
mtZOA+I+R4       -28597.603   57415.205 -        0   57505.316 -        0   57849.201 -        0
mtREV+I+R5       -28849.691   57923.382 -        0   58017.478 -        0   58365.269 -        0
mtREV+I+R6       -28845.851   57919.702 -        0   58017.905 -        0   58369.480 -        0
mtREV+R5         -28854.909   57931.817 -        0   58023.906 -        0   58369.759 -        0
mtREV+R6         -28851.864   57929.728 -        0   58025.862 -        0   58375.561 -        0
mtREV+I+R4       -28864.606   57949.213 -        0   58039.323 -        0   58383.209 -        0
